,Dataset,Predictions on :,MAE,RMSE,MAPE,R2
0,Vestas_data_history,Train_history,11.798120869236739,21.60421238802602,0.11832605481891174,99.00119699548581
1,Vestas_data_history,Test_forecast,18.364018167277827,30.491627513674267,0.1499256590728668,98.01818215358844
2,Vestas_data_forecast,Train_forecast,13.540910317177747,23.76056458331273,0.1267052554582787,98.7918621919308
3,Vestas_data_forecast,Test_forecast,13.557935918362155,23.729772168573277,0.14254022109304385,98.7997004024933
4,Nordex_data_history,Train_history,116.54762584193487,278.27944649573504,0.612504082581309,95.51465054221666
5,Nordex_data_history,Test_forecast,148.88422584511216,316.56191713776496,1.01318710504506,94.12700888476981
6,Nordex_data_forecast,Train_forecast,122.94721469809869,281.1000339207131,0.6070666061516354,95.42326444724799
7,Nordex_data_forecast,Test_forecast,129.48437003515798,293.36150958433166,0.9163877011566692,94.95631131430076
