,Dataset,Predictions on :,MAE,RMSE,MAPE,R2
0,Vestas_data_history,Test_forecast,15.66619955065093,26.768047942903944,0.13979382404183216,98.47265929478905
1,Vestas_data_forecast,Test_forecast,12.763649668605385,22.644778768803782,0.1348031020196655,98.90695337485766
2,Nordex_data_history,Test_forecast,178.41983198698037,340.2541258952473,0.7285701822203833,93.21501629038723
3,Nordex_data_forecast,Test_forecast,101.77952691741754,229.95189363443674,0.7330011855717136,96.90103986418828
